City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,nemuro,43.3236,145.575,-2.41,76,41,4.56,JP,1707744559
181,prey veng,11.4868,105.3253,28.2,32,7,2.73,KH,1707744559
182,queenstown,-31.8976,26.8753,35.92,16,6,4.37,ZA,1707744560
183,saipan,15.1355,145.701,26.39,73,0,6.17,MP,1707744561
184,costa rica,-23.4167,-54.65,30.91,51,44,5.44,BR,1707744358
185,ispir,40.4829,40.9956,5.67,75,100,0.7,TR,1707744562
186,stanley,54.868,-1.6985,8.49,68,20,9.26,GB,1707744341
187,skelleftea,64.7507,20.9528,-16.67,80,0,0.45,SE,1707744563
188,mandalgovi,45.7625,106.2708,-3.25,62,18,7.79,MN,1707744563
189,tazovsky,67.4667,78.7,-35.26,97,20,1.79,RU,1707744564
190,villa gesell,-37.2639,-56.973,21.14,90,100,5.9,AR,1707744565
191,pandan,14.0453,124.1694,25.79,77,100,12.32,PH,1707744565
192,tura,25.5198,90.2201,17.59,29,0,1.96,IN,1707744566
193,chonchi,-42.6128,-73.8092,11.56,54,0,2.18,CL,1707744566
194,hami,42.8,93.45,1.21,53,92,0.56,CN,1707744567
195,thunder bay,48.4001,-89.3168,-6.01,93,100,0.0,CA,1707744522
196,bayindir,38.2174,27.6474,17.34,65,100,8.88,TR,1707744568
197,anadyr,64.75,177.4833,-26.72,76,0,5.0,RU,1707744569
198,orlovskiy,46.8714,42.0592,13.3,62,100,2.39,RU,1707744569
199,balsas,-7.5325,-46.0356,29.61,57,74,4.66,BR,1707744570
200,madimba,-10.4,40.3333,26.86,84,100,2.23,TZ,1707744440
201,novovyazniki,56.1975,42.1711,-5.25,96,100,2.01,RU,1707744571
202,iskateley,67.6803,53.1512,-29.43,98,7,1.79,RU,1707744572
203,bardai,11.65,7.2333,35.73,9,0,4.04,NG,1707744572
204,nogales,31.3086,-110.9422,1.51,86,0,1.54,MX,1707744573
205,kittila,67.6647,24.8936,-20.92,84,0,0.51,FI,1707744574
206,prado,-17.3411,-39.2208,29.28,64,15,3.0,BR,1707744574
207,falenki,58.3613,51.5946,-10.87,91,100,4.45,RU,1707744575
208,anacapri,40.5558,14.2136,14.16,77,40,2.57,IT,1707744575
209,la trinite,14.7376,-60.9629,29.03,70,75,5.66,MQ,1707744576
210,mugia,43.1041,-9.2179,15.51,70,100,0.49,ES,1707744577
211,hammerfest,70.6634,23.6821,-1.75,74,40,1.03,NO,1707744577
212,san jose,37.3394,-121.895,9.91,88,100,0.89,US,1707744528
213,udachny,66.4167,112.4,-37.53,65,90,2.21,RU,1707744578
214,turmalina,-17.2856,-42.73,24.33,68,61,3.31,BR,1707744579
215,bandarbeyla,9.4942,50.8122,28.67,56,13,5.02,SO,1707744579
216,lillesand,58.2488,8.3778,-1.73,86,75,6.17,NO,1707744580
217,tobelo,1.7284,128.0095,26.97,81,39,4.68,ID,1707744581
218,cidreira,-30.1811,-50.2056,26.52,79,100,2.47,BR,1707744581
219,murzuq,25.9155,13.9184,23.7,20,0,6.05,LY,1707744582
220,nagqu,31.5,92.0,-5.93,18,100,1.58,CN,1707744582
221,as sulayyil,20.4607,45.5779,27.14,17,100,1.97,SA,1707744583
222,ouro sogui,15.6,-13.3167,36.06,6,0,4.12,SN,1707744584
223,kapuskasing,49.4169,-82.4331,-8.95,86,100,2.06,CA,1707744585
224,nyurba,63.2842,118.3319,-25.75,98,100,1.89,RU,1707744585
225,mana,5.6592,-53.7767,27.44,74,36,4.6,GF,1707744586
226,irituia,-1.7711,-47.4381,27.98,82,13,1.9,BR,1707744586
227,naberera,-4.2,36.9333,27.26,45,62,3.67,TZ,1707744587
228,oyama,36.3,139.8,10.33,61,0,0.87,JP,1707744587
229,nadym,65.5333,72.5167,-32.96,100,90,3.21,RU,1707744588
230,port alfred,-33.5906,26.891,33.7,38,0,9.34,ZA,1707744589
231,yallahs,17.8748,-76.5624,26.85,81,68,5.21,JM,1707744589
232,inirida,3.8653,-67.9239,26.08,85,98,1.38,CO,1707744590
233,cockburn town,21.4612,-71.1419,24.42,72,100,8.65,TC,1707744590
234,zimmerman,45.4433,-93.59,-2.22,93,0,3.09,US,1707744591
235,vadso,70.0744,29.7487,-4.91,93,75,2.57,NO,1707744592
236,deltebre,40.7499,0.7868,19.06,47,2,14.54,ES,1707744592
237,batesville,35.7698,-91.641,5.8,100,100,2.06,US,1707744593
238,sandnessjoen,66.0217,12.6316,-0.94,47,100,6.69,NO,1707744593
239,nar'yan-mar,67.6713,53.087,-29.38,98,7,1.79,RU,1707744594
240,rudnyy,52.9594,63.1206,-16.87,97,93,2.96,KZ,1707744595
241,luau,-10.7073,22.2247,30.26,47,33,2.73,AO,1707744595
242,la ronge,55.1001,-105.2842,-9.88,92,0,2.06,CA,1707744596
243,verkhnevilyuysk,63.4453,120.3167,-25.88,99,100,1.68,RU,1707744596
244,mokolo,10.7398,13.8019,34.96,9,16,4.45,CM,1707744597
245,callao,-12.0667,-77.15,27.62,69,0,5.66,PE,1707744597
246,salekhard,66.53,66.6019,-33.86,93,6,1.24,RU,1707744598
247,roquetas de mar,36.7642,-2.6148,21.0,76,61,3.61,ES,1707744598
248,metahara,8.9,39.9167,32.48,31,18,3.93,ET,1707744599
249,shubarkuduk,49.1447,56.4872,-5.58,94,100,5.2,KZ,1707744600
250,tucuma,-0.1833,-50.05,25.92,87,72,3.23,BR,1707744600
251,villamontes,-21.25,-63.5,32.8,49,61,1.75,BO,1707744601
252,east london,-33.0153,27.9116,28.52,61,0,8.23,ZA,1707744603
253,shahdadpur,25.9241,68.62,20.72,12,81,3.35,PK,1707744605
254,kananga,-5.8958,22.4178,31.77,48,25,2.03,CD,1707744606
255,batangafo,7.3008,18.2833,40.0,10,100,2.34,CF,1707744607
256,negru voda,43.8167,28.2,15.57,61,100,11.07,RO,1707744608
257,shakawe,-18.3667,21.85,33.77,30,60,2.88,BW,1707744618
258,magadan,59.5667,150.8,-21.97,95,100,2.59,RU,1707744405
259,corte,42.25,9.25,14.98,44,100,1.39,FR,1707744620
260,geraldton,-28.7667,114.6,22.23,83,0,5.14,AU,1707744379
261,vila franca do campo,37.7167,-25.4333,18.27,99,22,7.89,PT,1707744621
262,ugoofaaru,5.6667,73.0,27.82,73,89,4.76,MV,1707744622
263,bignona,12.8103,-16.2264,36.02,6,0,2.52,SN,1707744623
